image,top1,top3
0000398.png,0,"[0, 3, 2]"
0000402.png,0,"[0, 6, 8]"
0000403.png,0,"[0, 6, 2]"
0000406.png,8,"[8, 0, 2]"
0000410.png,0,"[0, 1, 7]"
0000422.png,0,"[0, 6, 8]"
0000425.png,0,"[0, 6, 9]"
0000431.png,0,"[0, 6, 2]"
0000434.png,0,"[0, 1, 6]"
0000441.png,0,"[0, 6, 1]"
0000447.png,0,"[0, 6, 5]"
0000449.png,6,"[6, 9, 8]"
0000452.png,0,"[0, 6, 8]"
0000457.png,0,"[0, 6, 1]"
0000474.png,0,"[0, 6, 8]"
0000477.png,0,"[0, 6, 9]"
0000478.png,0,"[0, 6, 1]"
0000481.png,0,"[0, 2, 1]"
0000490.png,0,"[0, 6, 2]"
0000496.png,0,"[0, 6, 9]"
0000498.png,0,"[0, 6, 9]"
0000511.png,0,"[0, 6, 4]"
0000513.png,0,"[0, 6, 2]"
0000515.png,0,"[0, 6, 8]"
0000523.png,0,"[0, 5, 6]"
0000527.png,0,"[0, 6, 8]"
0000545.png,0,"[0, 6, 9]"
0000547.png,0,"[0, 6, 9]"
0000551.png,0,"[0, 6, 2]"
0000565.png,0,"[0, 8, 6]"
0000573.png,0,"[0, 6, 9]"
0000582.png,0,"[0, 6, 8]"
0000585.png,0,"[0, 6, 8]"
0000587.png,0,"[0, 6, 1]"
0000594.png,0,"[0, 2, 6]"
0000596.png,0,"[0, 2, 6]"
0000598.png,0,"[0, 6, 8]"
0000605.png,0,"[0, 2, 6]"
0000607.png,0,"[0, 6, 1]"
0000608.png,0,"[0, 6, 8]"
0000609.png,0,"[0, 9, 8]"
0000611.png,0,"[0, 2, 6]"
0000615.png,0,"[0, 9, 2]"
0000617.png,0,"[0, 6, 2]"
0000628.png,0,"[0, 6, 8]"
0000634.png,0,"[0, 6, 2]"
0000639.png,0,"[0, 9, 2]"
0000648.png,0,"[0, 6, 8]"
0000652.png,0,"[0, 8, 6]"
0000656.png,0,"[0, 6, 2]"
0000659.png,0,"[0, 2, 6]"
0000670.png,0,"[0, 6, 8]"
0000678.png,0,"[0, 1, 6]"
0000686.png,0,"[0, 6, 8]"
0000690.png,0,"[0, 8, 6]"
0000691.png,0,"[0, 8, 2]"
0000698.png,0,"[0, 6, 1]"
0000705.png,0,"[0, 2, 8]"
0000713.png,0,"[0, 6, 8]"
0000715.png,0,"[0, 8, 9]"
0000718.png,0,"[0, 6, 2]"
0000719.png,0,"[0, 2, 3]"
0000728.png,0,"[0, 6, 8]"
0000729.png,0,"[0, 2, 5]"
0000738.png,0,"[0, 1, 3]"
0000756.png,0,"[0, 6, 2]"
0000758.png,6,"[6, 0, 8]"
0000762.png,0,"[0, 6, 9]"
0000764.png,0,"[0, 6, 1]"
0000766.png,0,"[0, 6, 2]"
0000767.png,0,"[0, 6, 2]"
0000770.png,0,"[0, 6, 1]"
0000772.png,0,"[0, 6, 8]"
0000777.png,0,"[0, 2, 9]"
0000779.png,0,"[0, 6, 8]"
0000781.png,0,"[0, 2, 6]"
0000788.png,0,"[0, 6, 9]"
0000796.png,0,"[0, 6, 8]"
0000797.png,0,"[0, 6, 8]"
0000802.png,0,"[0, 6, 5]"
0000811.png,0,"[0, 8, 6]"
0000817.png,0,"[0, 6, 8]"
0000826.png,0,"[0, 6, 2]"
0000827.png,0,"[0, 6, 2]"
0000830.png,0,"[0, 6, 8]"
0000833.png,0,"[0, 3, 6]"
0000841.png,0,"[0, 8, 3]"
0000852.png,0,"[0, 1, 8]"
0000856.png,0,"[0, 6, 2]"
0000880.png,0,"[0, 9, 6]"
0000881.png,0,"[0, 2, 7]"
0000883.png,0,"[0, 6, 8]"
0000887.png,0,"[0, 6, 2]"
0000888.png,0,"[0, 8, 3]"
0000894.png,0,"[0, 8, 9]"
0000896.png,0,"[0, 8, 2]"
0000898.png,0,"[0, 6, 8]"
0000902.png,0,"[0, 8, 9]"
0000905.png,0,"[0, 8, 6]"
0000906.png,0,"[0, 9, 1]"
0000907.png,0,"[0, 6, 9]"
0000921.png,6,"[6, 5, 0]"
0000922.png,0,"[0, 6, 8]"
0000923.png,0,"[0, 6, 8]"
0000926.png,0,"[0, 8, 6]"
0000928.png,0,"[0, 6, 2]"
0000931.png,0,"[0, 6, 9]"
0000932.png,0,"[0, 6, 8]"
0000934.png,0,"[0, 6, 9]"
0000937.png,6,"[6, 0, 5]"
0000940.png,0,"[0, 6, 2]"
0000941.png,0,"[0, 2, 6]"
0000944.png,0,"[0, 6, 1]"
0000948.png,0,"[0, 6, 2]"
0000957.png,0,"[0, 9, 2]"
0000960.png,0,"[0, 6, 8]"
0000962.png,0,"[0, 6, 2]"
0000970.png,0,"[0, 6, 1]"
0000971.png,0,"[0, 1, 6]"
0000972.png,0,"[0, 6, 1]"
0000982.png,0,"[0, 8, 6]"
0000984.png,0,"[0, 6, 9]"
0000987.png,8,"[8, 0, 6]"
0000995.png,0,"[0, 8, 6]"
0000998.png,0,"[0, 6, 2]"
0001000.png,0,"[0, 6, 2]"
0001020.png,0,"[0, 6, 8]"
0001023.png,0,"[0, 6, 8]"
0001024.png,0,"[0, 6, 2]"
0001025.png,0,"[0, 2, 6]"
0001031.png,0,"[0, 2, 6]"
0001039.png,0,"[0, 2, 5]"
0001048.png,0,"[0, 2, 1]"
0001050.png,0,"[0, 6, 2]"
0001059.png,0,"[0, 6, 2]"
0001062.png,0,"[0, 6, 8]"
0001070.png,0,"[0, 6, 8]"
0001073.png,0,"[0, 6, 5]"
0001076.png,0,"[0, 6, 2]"
0001077.png,0,"[0, 6, 2]"
0001086.png,0,"[0, 6, 5]"
0001089.png,0,"[0, 6, 8]"
0001094.png,6,"[6, 9, 8]"
0001095.png,0,"[0, 6, 9]"
0001103.png,0,"[0, 6, 8]"
0001109.png,0,"[0, 6, 2]"
0001114.png,0,"[0, 6, 8]"
0001115.png,0,"[0, 2, 6]"
0001116.png,0,"[0, 8, 6]"
0001119.png,0,"[0, 1, 7]"
0001126.png,0,"[0, 6, 2]"
0001128.png,0,"[0, 6, 8]"
0001130.png,0,"[0, 6, 2]"
0001145.png,0,"[0, 6, 3]"
0001147.png,0,"[0, 8, 6]"
0001153.png,0,"[0, 2, 9]"
0001154.png,0,"[0, 6, 2]"
0001165.png,0,"[0, 6, 2]"
0001166.png,0,"[0, 6, 8]"
0001167.png,0,"[0, 6, 4]"
0001176.png,0,"[0, 6, 8]"
0001185.png,0,"[0, 8, 6]"
0001190.png,0,"[0, 6, 7]"
0001196.png,0,"[0, 6, 8]"
0001203.png,0,"[0, 1, 7]"
0001217.png,0,"[0, 7, 6]"
0001224.png,0,"[0, 6, 2]"
0001226.png,0,"[0, 6, 2]"
0001230.png,0,"[0, 6, 8]"
0001234.png,0,"[0, 6, 2]"
0001236.png,0,"[0, 1, 6]"
0001239.png,0,"[0, 2, 9]"
0001252.png,0,"[0, 8, 2]"
0001253.png,0,"[0, 6, 2]"
0001259.png,0,"[0, 6, 9]"
0001260.png,0,"[0, 8, 6]"
0001263.png,0,"[0, 1, 7]"
0001265.png,0,"[0, 9, 8]"
0001267.png,0,"[0, 2, 1]"
0001269.png,0,"[0, 1, 7]"
0001270.png,0,"[0, 6, 8]"
0001279.png,0,"[0, 6, 8]"
0001282.png,0,"[0, 6, 8]"
0001283.png,0,"[0, 6, 2]"
0001286.png,0,"[0, 6, 9]"
0001288.png,0,"[0, 6, 2]"
0001289.png,0,"[0, 6, 2]"
0001290.png,0,"[0, 6, 8]"
0001297.png,0,"[0, 1, 9]"
0001307.png,0,"[0, 6, 5]"
0001308.png,0,"[0, 6, 9]"
0001313.png,0,"[0, 6, 7]"
0001318.png,0,"[0, 6, 8]"
0001319.png,0,"[0, 6, 8]"
0001320.png,0,"[0, 6, 2]"
0001324.png,0,"[0, 6, 2]"
0001331.png,0,"[0, 6, 8]"
0001336.png,0,"[0, 6, 2]"
0001337.png,0,"[0, 6, 2]"
0001345.png,0,"[0, 6, 5]"
0001360.png,0,"[0, 6, 8]"
0001363.png,0,"[0, 7, 1]"
0001366.png,0,"[0, 6, 2]"
0001367.png,0,"[0, 6, 9]"
0001369.png,6,"[6, 0, 5]"
0001370.png,0,"[0, 2, 8]"
0001383.png,0,"[0, 2, 9]"
0001384.png,0,"[0, 6, 1]"
0001395.png,0,"[0, 2, 3]"
0001398.png,0,"[0, 6, 8]"
0001402.png,0,"[0, 1, 7]"
0001412.png,0,"[0, 6, 8]"
0001413.png,0,"[0, 6, 9]"
0001422.png,0,"[0, 6, 8]"
0001427.png,0,"[0, 8, 3]"
0001429.png,0,"[0, 6, 9]"
0001432.png,0,"[0, 6, 2]"
0001440.png,0,"[0, 2, 6]"
0001441.png,0,"[0, 6, 2]"
0001447.png,6,"[6, 3, 8]"
0001449.png,0,"[0, 8, 9]"
0001451.png,0,"[0, 8, 6]"
0001455.png,0,"[0, 2, 6]"
0001457.png,0,"[0, 2, 8]"
0001462.png,0,"[0, 6, 8]"
0001467.png,0,"[0, 6, 5]"
0001469.png,0,"[0, 6, 2]"
0001475.png,0,"[0, 2, 6]"
0001477.png,0,"[0, 6, 8]"
0001489.png,0,"[0, 6, 2]"
0001490.png,0,"[0, 6, 2]"
0001493.png,0,"[0, 6, 3]"
0001494.png,0,"[0, 6, 9]"
0001498.png,0,"[0, 8, 6]"
0001504.png,0,"[0, 3, 8]"
0001508.png,0,"[0, 6, 1]"
0001510.png,0,"[0, 6, 8]"
0001512.png,0,"[0, 6, 8]"
0001525.png,0,"[0, 6, 1]"
0001527.png,0,"[0, 6, 1]"
0001531.png,0,"[0, 3, 7]"
0001539.png,0,"[0, 9, 6]"
0001541.png,0,"[0, 6, 9]"
0001544.png,0,"[0, 6, 3]"
0001545.png,0,"[0, 6, 2]"
0001547.png,6,"[6, 0, 5]"
0001548.png,0,"[0, 8, 6]"
0001551.png,0,"[0, 6, 8]"
0001554.png,0,"[0, 6, 8]"
0001555.png,0,"[0, 6, 8]"
0001560.png,0,"[0, 6, 2]"
0001569.png,0,"[0, 6, 1]"
0001570.png,0,"[0, 6, 8]"
0001578.png,0,"[0, 6, 9]"
0001581.png,0,"[0, 9, 6]"
0001584.png,0,"[0, 6, 2]"
0001590.png,0,"[0, 8, 6]"
0001598.png,0,"[0, 8, 2]"
0001609.png,0,"[0, 6, 9]"
0001611.png,0,"[0, 8, 6]"
0001613.png,0,"[0, 6, 8]"
0001617.png,6,"[6, 9, 0]"
0001622.png,0,"[0, 6, 5]"
0001635.png,0,"[0, 9, 2]"
0001641.png,0,"[0, 6, 9]"
0001647.png,0,"[0, 8, 6]"
0001649.png,0,"[0, 9, 8]"
0001663.png,0,"[0, 6, 3]"
0001670.png,0,"[0, 6, 8]"
0001672.png,0,"[0, 6, 9]"
0001681.png,0,"[0, 9, 1]"
0001683.png,0,"[0, 8, 6]"
0001685.png,0,"[0, 2, 6]"
0001690.png,0,"[0, 6, 2]"
0001699.png,6,"[6, 0, 9]"
0001711.png,0,"[0, 2, 6]"
0001712.png,0,"[0, 6, 3]"
0001726.png,0,"[0, 6, 2]"
0001732.png,0,"[0, 6, 1]"
0001735.png,0,"[0, 9, 2]"
0001736.png,0,"[0, 6, 9]"
0001737.png,0,"[0, 7, 1]"
0001743.png,0,"[0, 6, 9]"
0001749.png,0,"[0, 6, 2]"
0001752.png,0,"[0, 6, 8]"
0001753.png,0,"[0, 6, 8]"
0001757.png,0,"[0, 8, 3]"
0001759.png,0,"[0, 2, 6]"
0001760.png,0,"[0, 8, 5]"
0001765.png,0,"[0, 6, 9]"
0001786.png,0,"[0, 1, 6]"
0001790.png,0,"[0, 6, 8]"
0001794.png,0,"[0, 6, 8]"
0001803.png,0,"[0, 6, 3]"
0001804.png,0,"[0, 6, 1]"
0001806.png,0,"[0, 8, 6]"
0001815.png,0,"[0, 7, 1]"
0001820.png,0,"[0, 6, 2]"
0001821.png,0,"[0, 6, 1]"
0001823.png,0,"[0, 8, 1]"
0001825.png,0,"[0, 1, 6]"
0001834.png,0,"[0, 8, 6]"
0001843.png,0,"[0, 2, 6]"
0001844.png,0,"[0, 6, 2]"
0001848.png,0,"[0, 6, 1]"
0001854.png,0,"[0, 6, 8]"
0001862.png,0,"[0, 8, 6]"
0001866.png,0,"[0, 6, 1]"
0001877.png,0,"[0, 1, 6]"
0001878.png,0,"[0, 6, 8]"
0001887.png,0,"[0, 6, 9]"
0001903.png,0,"[0, 8, 9]"
0001906.png,0,"[0, 7, 8]"
0001909.png,0,"[0, 1, 8]"
0001913.png,0,"[0, 6, 1]"
0001916.png,0,"[0, 6, 2]"
0001920.png,0,"[0, 8, 6]"
0001923.png,0,"[0, 8, 6]"
0001924.png,0,"[0, 6, 8]"
0001926.png,0,"[0, 6, 3]"
0001930.png,0,"[0, 6, 1]"
0001932.png,0,"[0, 6, 8]"
0001939.png,0,"[0, 6, 2]"
0001944.png,0,"[0, 6, 1]"
0001949.png,0,"[0, 9, 4]"
0001951.png,0,"[0, 6, 9]"
0001953.png,0,"[0, 8, 2]"
0001959.png,0,"[0, 8, 6]"
0001961.png,0,"[0, 1, 7]"
0001962.png,0,"[0, 6, 8]"
0001967.png,0,"[0, 9, 7]"
0001969.png,0,"[0, 9, 6]"
0001971.png,0,"[0, 6, 2]"
0001975.png,0,"[0, 6, 9]"
0001984.png,0,"[0, 6, 1]"
0001985.png,0,"[0, 6, 2]"
0001991.png,0,"[0, 6, 9]"
0001994.png,0,"[0, 8, 6]"
0001997.png,0,"[0, 2, 3]"
0002004.png,0,"[0, 8, 6]"
0002006.png,0,"[0, 6, 8]"
0002014.png,0,"[0, 6, 8]"
0002016.png,0,"[0, 6, 8]"
0002021.png,0,"[0, 8, 9]"
0002022.png,0,"[0, 6, 1]"
0002024.png,0,"[0, 6, 8]"
0002028.png,0,"[0, 6, 8]"
0002032.png,0,"[0, 6, 1]"
0002033.png,0,"[0, 9, 1]"
0002039.png,0,"[0, 6, 3]"
0002044.png,0,"[0, 8, 6]"
0002045.png,0,"[0, 6, 2]"
0002050.png,0,"[0, 8, 6]"
0002055.png,0,"[0, 1, 7]"
0002058.png,0,"[0, 6, 2]"
0002063.png,0,"[0, 2, 3]"
0002066.png,0,"[0, 6, 2]"
0002071.png,0,"[0, 6, 2]"
0002072.png,0,"[0, 6, 2]"
0002076.png,0,"[0, 6, 7]"
0002079.png,0,"[0, 2, 6]"
0002082.png,0,"[0, 6, 2]"
0002083.png,0,"[0, 9, 2]"
0002088.png,0,"[0, 6, 2]"
0002091.png,0,"[0, 6, 2]"
0002097.png,0,"[0, 6, 9]"
0002098.png,0,"[0, 1, 7]"
0002100.png,0,"[0, 8, 6]"
0002101.png,0,"[0, 6, 9]"
0002105.png,0,"[0, 8, 6]"
0002107.png,0,"[0, 6, 9]"
0002112.png,0,"[0, 6, 9]"
0002113.png,0,"[0, 6, 1]"
0002116.png,0,"[0, 8, 6]"
0002120.png,0,"[0, 6, 1]"
0002124.png,0,"[0, 6, 9]"
0002125.png,0,"[0, 2, 6]"
0002126.png,0,"[0, 6, 5]"
0002129.png,0,"[0, 8, 6]"
0002137.png,0,"[0, 6, 2]"
0002146.png,0,"[0, 6, 2]"
0002147.png,0,"[0, 2, 6]"
0002154.png,0,"[0, 6, 9]"
0002155.png,0,"[0, 2, 6]"
0002157.png,0,"[0, 6, 8]"
0002166.png,0,"[0, 6, 9]"
0002170.png,0,"[0, 6, 1]"
0002172.png,0,"[0, 6, 2]"
0002188.png,0,"[0, 8, 2]"
0002189.png,0,"[0, 5, 6]"
0002195.png,0,"[0, 6, 2]"
0002200.png,0,"[0, 2, 5]"
0002207.png,0,"[0, 6, 9]"
0002210.png,0,"[0, 2, 6]"
0002217.png,0,"[0, 6, 8]"
0002226.png,0,"[0, 6, 3]"
0002228.png,0,"[0, 6, 2]"
0002231.png,0,"[0, 6, 2]"
0002244.png,0,"[0, 6, 2]"
0002245.png,0,"[0, 2, 9]"
0002249.png,0,"[0, 6, 9]"
0002251.png,0,"[0, 6, 9]"
0002252.png,0,"[0, 1, 7]"
0002253.png,0,"[0, 1, 7]"
0002255.png,0,"[0, 2, 6]"
0002268.png,0,"[0, 6, 8]"
0002270.png,0,"[0, 6, 8]"
0002277.png,0,"[0, 6, 3]"
0002278.png,0,"[0, 6, 1]"
0002290.png,0,"[0, 6, 8]"
0002293.png,0,"[0, 6, 8]"
0002294.png,0,"[0, 6, 2]"
0002295.png,0,"[0, 2, 6]"
0002296.png,0,"[0, 8, 7]"
0002307.png,0,"[0, 6, 9]"
0002311.png,0,"[0, 6, 2]"
0002317.png,0,"[0, 6, 3]"
0002318.png,0,"[0, 6, 8]"
0002319.png,0,"[0, 2, 6]"
0002322.png,0,"[0, 6, 9]"
0002331.png,0,"[0, 6, 9]"
0002333.png,0,"[0, 9, 6]"
0002337.png,0,"[0, 6, 2]"
0002340.png,0,"[0, 6, 8]"
0002342.png,0,"[0, 6, 2]"
0002346.png,0,"[0, 6, 2]"
0002349.png,0,"[0, 9, 1]"
0002353.png,0,"[0, 8, 1]"
0002354.png,0,"[0, 6, 1]"
0002355.png,0,"[0, 6, 2]"
0002358.png,0,"[0, 6, 2]"
0002359.png,0,"[0, 2, 6]"
0002360.png,0,"[0, 6, 1]"
0002362.png,0,"[0, 6, 1]"
0002377.png,0,"[0, 6, 2]"
0002383.png,0,"[0, 9, 8]"
0002393.png,0,"[0, 6, 8]"
0002398.png,0,"[0, 6, 2]"
0002404.png,0,"[0, 6, 2]"
0002417.png,0,"[0, 6, 3]"
0002418.png,0,"[0, 6, 8]"
0002421.png,0,"[0, 6, 8]"
0002427.png,0,"[0, 2, 7]"
0002430.png,0,"[0, 6, 2]"
0002432.png,0,"[0, 6, 2]"
0002433.png,0,"[0, 5, 6]"
0002438.png,0,"[0, 6, 8]"
0002450.png,0,"[0, 9, 6]"
0002451.png,0,"[0, 1, 7]"
0002456.png,0,"[0, 6, 9]"
0002462.png,0,"[0, 6, 1]"
0002467.png,0,"[0, 6, 9]"
0002468.png,0,"[0, 6, 2]"
0002472.png,0,"[0, 6, 9]"
0002485.png,0,"[0, 8, 6]"
0002486.png,0,"[0, 1, 6]"
0002487.png,0,"[0, 6, 9]"
0002492.png,0,"[0, 6, 2]"
0002495.png,0,"[0, 2, 8]"
0002501.png,0,"[0, 8, 9]"
0002505.png,0,"[0, 8, 6]"
0002508.png,0,"[0, 6, 8]"
0002512.png,0,"[0, 7, 1]"
0002515.png,0,"[0, 1, 8]"
0002519.png,0,"[0, 5, 2]"
0002528.png,0,"[0, 6, 9]"
0002534.png,0,"[0, 8, 6]"
0002544.png,0,"[0, 6, 8]"
0002555.png,0,"[0, 6, 2]"
0002556.png,0,"[0, 6, 2]"
0002557.png,0,"[0, 6, 2]"
0002560.png,0,"[0, 8, 6]"
0002565.png,0,"[0, 6, 2]"
0002568.png,0,"[0, 6, 2]"
0002573.png,0,"[0, 2, 6]"
0002574.png,0,"[0, 6, 8]"
0002575.png,0,"[0, 6, 5]"
0002606.png,0,"[0, 6, 8]"
0002625.png,0,"[0, 8, 6]"
0002627.png,0,"[0, 2, 6]"
0002630.png,0,"[0, 2, 6]"
0002646.png,0,"[0, 6, 8]"
0002650.png,0,"[0, 8, 6]"
0002658.png,0,"[0, 6, 8]"
0002664.png,0,"[0, 6, 8]"
0002674.png,0,"[0, 6, 5]"
0002682.png,0,"[0, 6, 2]"
0002686.png,0,"[0, 2, 6]"
0002691.png,0,"[0, 2, 6]"
0002695.png,0,"[0, 9, 6]"
0002696.png,0,"[0, 6, 9]"
0002698.png,0,"[0, 6, 5]"
0002700.png,0,"[0, 6, 2]"
0002703.png,0,"[0, 9, 6]"
0002717.png,0,"[0, 6, 8]"
0002721.png,0,"[0, 8, 6]"
0002728.png,0,"[0, 6, 2]"
0002729.png,0,"[0, 6, 9]"
0002738.png,0,"[0, 6, 8]"
0002739.png,0,"[0, 8, 1]"
0002746.png,0,"[0, 8, 6]"
0002747.png,0,"[0, 6, 9]"
0002748.png,0,"[0, 6, 9]"
0002750.png,0,"[0, 6, 8]"
0002751.png,0,"[0, 6, 8]"
0002754.png,0,"[0, 8, 6]"
0002769.png,0,"[0, 2, 6]"
0002776.png,8,"[8, 0, 6]"
0002781.png,0,"[0, 6, 5]"
0002796.png,0,"[0, 3, 6]"
0002797.png,0,"[0, 6, 3]"
0002799.png,0,"[0, 6, 8]"
0002804.png,0,"[0, 6, 1]"
0002808.png,0,"[0, 6, 2]"
0002810.png,0,"[0, 7, 6]"
0002817.png,0,"[0, 1, 7]"
0002818.png,0,"[0, 1, 6]"
0002821.png,0,"[0, 6, 2]"
0002822.png,0,"[0, 6, 5]"
0002830.png,8,"[8, 0, 6]"
0002831.png,0,"[0, 9, 6]"
0002833.png,0,"[0, 1, 9]"
0002839.png,0,"[0, 9, 5]"
0002847.png,0,"[0, 6, 7]"
0002848.png,0,"[0, 6, 9]"
0002849.png,0,"[0, 8, 6]"
0002860.png,0,"[0, 6, 4]"
0002864.png,0,"[0, 6, 8]"
0002866.png,0,"[0, 6, 2]"
0002868.png,0,"[0, 6, 8]"
0002869.png,0,"[0, 6, 8]"
0002874.png,0,"[0, 6, 8]"
0002877.png,0,"[0, 6, 5]"
0002878.png,0,"[0, 6, 2]"
0002884.png,0,"[0, 6, 2]"
0002892.png,0,"[0, 6, 1]"
0002903.png,0,"[0, 6, 2]"
0002905.png,0,"[0, 6, 8]"
0002906.png,0,"[0, 6, 8]"
0002911.png,0,"[0, 4, 6]"
0002912.png,0,"[0, 6, 8]"
0002913.png,0,"[0, 8, 9]"
0002934.png,0,"[0, 6, 8]"
0002941.png,0,"[0, 6, 9]"
0002947.png,0,"[0, 6, 9]"
0002949.png,9,"[9, 0, 6]"
0002953.png,0,"[0, 2, 1]"
0002964.png,0,"[0, 6, 8]"
0002966.png,0,"[0, 6, 9]"
0002968.png,0,"[0, 8, 7]"
0002969.png,0,"[0, 6, 7]"
0002973.png,0,"[0, 6, 9]"
0002977.png,0,"[0, 6, 2]"
0002979.png,0,"[0, 7, 2]"
0002980.png,0,"[0, 1, 6]"
0002983.png,0,"[0, 6, 2]"
0002984.png,0,"[0, 8, 2]"
0002989.png,0,"[0, 6, 2]"
0002991.png,0,"[0, 2, 1]"
0002997.png,0,"[0, 6, 2]"
0002999.png,0,"[0, 6, 2]"
0003002.png,0,"[0, 6, 1]"
0003004.png,0,"[0, 1, 8]"
0003010.png,0,"[0, 6, 8]"
0003013.png,0,"[0, 6, 5]"
0003014.png,0,"[0, 8, 6]"
0003020.png,0,"[0, 6, 2]"
0003024.png,0,"[0, 6, 2]"
0003031.png,0,"[0, 6, 2]"
0003032.png,0,"[0, 8, 6]"
0003033.png,0,"[0, 9, 6]"
0003042.png,0,"[0, 8, 6]"
0003062.png,0,"[0, 6, 8]"
0003069.png,0,"[0, 2, 6]"
0003074.png,0,"[0, 6, 2]"
0003080.png,0,"[0, 6, 3]"
0003088.png,0,"[0, 2, 7]"
0003105.png,0,"[0, 8, 6]"
0003126.png,0,"[0, 8, 6]"
0003127.png,0,"[0, 6, 8]"
0003139.png,0,"[0, 2, 3]"
0003141.png,0,"[0, 6, 9]"
0003142.png,0,"[0, 6, 3]"
0003143.png,0,"[0, 2, 6]"
0003149.png,0,"[0, 2, 8]"
0003151.png,0,"[0, 6, 2]"
0003152.png,0,"[0, 6, 5]"
0003163.png,0,"[0, 6, 8]"
0003175.png,0,"[0, 6, 2]"
0003184.png,0,"[0, 1, 6]"
0003192.png,0,"[0, 6, 8]"
0003198.png,0,"[0, 6, 8]"
0003204.png,0,"[0, 6, 8]"
0003208.png,0,"[0, 6, 9]"
0003213.png,0,"[0, 2, 9]"
0003220.png,0,"[0, 6, 1]"
0003235.png,0,"[0, 6, 2]"
0003240.png,0,"[0, 6, 2]"
0003247.png,0,"[0, 9, 6]"
0003248.png,0,"[0, 2, 8]"
0003258.png,0,"[0, 6, 9]"
0003259.png,0,"[0, 8, 2]"
0003267.png,0,"[0, 6, 9]"
0003268.png,0,"[0, 6, 1]"
0003269.png,0,"[0, 9, 6]"
0003272.png,0,"[0, 6, 8]"
0003275.png,0,"[0, 6, 3]"
0003279.png,0,"[0, 6, 8]"
